experiment,read,sequence,start_flank,end_flank,read_length
EF1,bdbd8566-3dff-4a6e-a6b0-e603fa5b760e,1:278-symE;313:347-J23113;358:414-T1_L3S2P55;419:2522-pac;2523:2523-no_hits,0,1,2523
EF1,891d8fbb-7606-4651-8bd4-5dd146c5b0aa,1:315-no_hits;316:350-J23116;351:724-no_hits,315,374,724
EF1,29d2b877-d84b-4353-aee0-72d3d76bef3b,1:1638-no_hits;1639:1695-T1_L3S2P55;1706:1740-J23113;1744:1773-RBSc44;1774:2112-symE;2116:2176-T2_L3S2P21;4586:4620-J23116;4624:4654-RBSc36;4655:5541-pac;5542:5541-no_hits,1638,0,5541
EF1,dbe16559-ee21-4aa4-8ad5-ba5f4f9b39be,1:56-T1_L3S2P55;67:101-J23113;105:135-RBSc36;136:292-symE;293:292-no_hits,0,0,292
EF1,71d58c3d-3c41-4134-9860-778c589f5881,1:641-no_hits;642:676-J23107;677:2167-no_hits,641,1491,2167
EF1,61bc407f-6a68-4501-b141-29379fdeeaed,1:624-no_hits;625:659-J23116;663:693-RBSc36;694:1032-symE;1033:3003-no_hits,624,1971,3003
EF1,b768c163-c622-4c78-b37d-ef4fd8df0c51,1:1068-no_hits;1069:1103-J23116;1104:2241-no_hits,1068,1138,2241
EF1,1b46c1dd-c201-46a9-ad53-b5ec6f75143c,1:162-symE;163:193-RBSc58;197:231-J23116;242:298-T1_L3S2P55;302:1331-pac;1332:1331-no_hits,0,0,1331
EF1,12182b67-7e35-4ecd-bbf8-af31bb70027f,1:103-no_hits;104:138-J23116;139:217-no_hits,103,79,217
EF1,1321f3fb-7dac-42e2-aade-32ed8127d592,1:169-no_hits;170:204-J23107;205:2230-no_hits,169,2026,2230
EF1,1227611d-445d-4648-b070-9a3fca9d1ae6,1:2028-no_hits;2029:2063-J23107;2064:2229-no_hits,2028,166,2229
EF1,546d9e55-3dcd-4f94-b766-18c59e58534c,1:1435-no_hits;1436:1470-J23116;1471:2237-no_hits,1435,767,2237
EF1,ce98fdad-13dc-427f-b83b-e0fa73e2441e,1:730-no_hits;731:765-J23116;766:2218-no_hits,730,1453,2218
EF1,4f8a9723-43ca-4b89-8520-b3e0c84fede2,1:129-no_hits;130:164-J23118;168:198-RBSc36;199:2732-pac;2736:2792-T1_L3S2P55;2803:2837-J23116;2841:2871-RBSc33;2872:3210-symE;3211:5509-no_hits,129,2299,5509
EF1,2510f242-fd0e-486e-8886-ae904441d0d7,1:185-no_hits;186:220-J23116;224:254-RBSc36;255:1547-pac;1548:1547-no_hits,185,0,1547
EF1,a74f69a8-848a-4207-97ac-16bcde823f90,1:4-no_hits;5:343-symE;344:374-RBSc42;388:415-J23113;436:484-T1_L3S2P55;488:1237-pac;1238:1239-no_hits,4,2,1239
EF1,c78587a1-d7b9-4484-860d-7d3c8ae819e6,1:3-no_hits;4:1945-pac;1946:1976-RBSc36;1980:2014-J23113;2015:2647-no_hits,3,633,2647
EF1,40d5338c-c2a9-4e99-a292-0600784f65e6,1:186-no_hits;187:221-J23116;222:2221-no_hits,186,2000,2221
EF1,c7fb4331-727f-4ebe-b084-52451165f646,1:1664-pac;1701:1735-J23113;1736:1960-no_hits,0,225,1960
EF1,c2cb986d-365c-4d25-8132-6711019dea14,1:280-symE;281:311-RBSc58;315:349-J23113;360:417-T1_L3S2P55;421:1203-pac;1204:1203-no_hits,0,0,1203
EF1,2be954d1-ff2a-444d-8eec-a193538f67a6,1:889-no_hits;890:949-T2_L3S2P21;953:1291-symE;1292:1322-RBSc13;1326:1360-J23113;1371:1427-T1_L3S2P55;1431:3219-pac;3220:3220-no_hits,889,1,3220
EF1,1f1f5ceb-3da6-41e5-8d43-453a0546ae7f,1:1204-no_hits;1205:1239-J23116;1240:2228-no_hits,1204,989,2228
EF1,7caad7c6-373b-4c25-8bfe-a23af9a5eb94,1:1152-no_hits;1153:1187-J23116;1188:2085-no_hits,1152,898,2085
EF1,434c9282-3397-43f3-8cef-2e3ba82f3afa,1:503-no_hits;504:538-J23107;542:572-RBSc36;573:2750-pac;2751:2750-no_hits,503,0,2750
EF1,0c92c744-5e6c-4435-bb00-645c63c77409,1:89-no_hits;90:124-J23116;128:158-RBSc36;159:1146-pac;1147:1146-no_hits,89,0,1146
EF1,791a7e04-db3d-4327-bcc6-2fd946e6fb99,1:474-no_hits;475:534-T2_L3S2P21;538:877-symE;911:945-J23100;956:1012-T1_L3S2P55;1016:1507-pac;1508:1509-no_hits,474,2,1509
EF1,6fb4afd0-ccb8-4ea6-b93a-ef1448be5f6e,1:245-symE;246:276-RBSc58;280:314-J23107;325:381-T1_L3S2P55;385:822-pac;823:822-no_hits,0,0,822
EF1,533be9bd-e345-4ffb-994a-bec9d70b0d39,1:329-no_hits;330:364-J23113;399:2927-pac;2931:2986-T1_L3S2P55;2997:3031-J23107;3035:3065-RBSc36;3066:3404-symE;3408:3466-T2_L3S2P21;3467:5883-no_hits,329,2417,5883
EF1,973febe1-e369-4bf3-9539-2524145031d9,1:1409-no_hits;1410:1466-T1_L3S2P55;1470:4006-pac;4007:4037-RBSc36;4049:4080-J23116;4081:5473-no_hits,1409,1393,5473
EF1,b6e8f60c-8f39-46ab-ac60-0bc6e4b4591b,1:1256-no_hits;1257:1291-J23116;1292:2235-no_hits,1256,944,2235
EF1,35204e41-0b74-44e2-bf0b-bce68136e0d0,1:717-pac;787:821-J23118;857:1204-symE;1208:1268-T2_L3S2P21;1269:2062-no_hits,0,794,2062
EF1,a66f86ce-8327-4722-b114-e9c69654a1fa,1:1113-no_hits;1114:1148-J23116;1149:2238-no_hits,1113,1090,2238
EF1,dead04b0-2ffc-4087-bc49-6c5f7add44bd,1:17-no_hits;18:81-symE;85:139-T2_L3S2P21;2579:2610-J23113;2649:5174-pac;5178:5230-T1_L3S2P55;5246:5280-J23107;5284:5314-RBSc58;5315:5511-no_hits,17,197,5511
EF1,7d038ad2-284e-4677-b89a-ac1de92f0ff0,1:792-no_hits;793:852-T2_L3S2P21;856:1191-symE;1226:1260-J23102;1261:3122-no_hits,792,1862,3122
EF1,aa0e0ded-e8ed-43e3-9403-fe49f8991881,1:1271-no_hits;1272:1306-J23116;1310:1340-RBSc36;1379:1413-J23107;1417:1447-RBSc58;1448:1792-symE;1793:2999-no_hits,1271,1207,2999
EF1,f7682726-efc2-426b-bf17-5b044d1122ba,1:683-no_hits;684:718-J23116;719:2222-no_hits,683,1504,2222
EF1,4b081b66-da08-4884-ad3b-50c747f279c0,1:232-no_hits;233:267-J23116;268:967-no_hits,232,700,967
EF1,c8a67417-a127-4115-9cfb-c1ef77264ae4,1:886-no_hits;887:921-J23113;922:937-no_hits,886,16,937
EF1,b3602493-9d81-4465-adcb-26177e7d1553,1:6-no_hits;7:199-symE;200:229-RBSc44;233:267-J23116;278:334-T1_L3S2P55;338:2870-pac;2871:2870-no_hits,6,0,2870
EF1,67289aff-785b-4a5e-8b22-ad1742f26b88,1:2002-no_hits;2003:2037-J23116;4250:4284-J23107;6736:6796-T2_L3S2P21;6800:7133-symE;7211:7267-T1_L3S2P55;7271:7830-pac;7831:7830-no_hits,2002,0,7830
EF1,4ad70095-e38a-4e92-baad-f256e015f694,1:539-no_hits;540:574-J23113;575:2234-no_hits,539,1660,2234
EF1,b157498b-d2ec-4302-8ac9-f17dcee152cb,1:1380-pac;1413:1467-T1_L3S2P55;1478:1512-J23107;1516:1546-RBSc42;1547:1885-symE;1889:1941-T2_L3S2P21;1942:3604-no_hits,0,1663,3604
EF1,77cc59d5-7573-4590-83c5-3b56b00562d6,1:703-no_hits;704:738-J23113;739:2178-no_hits,703,1440,2178
EF1,e6e015f2-5ab0-4fdb-b87c-99f67a12dbef,1:1540-no_hits;1541:1575-J23116;1579:1609-RBSc36;1610:2774-pac;2775:2776-no_hits,1540,2,2776
EF1,9b326abf-2eff-48fc-8b41-18fb0ca1f770,1:16-no_hits;17:733-pac;767:801-J23102;3311:3649-symE;3684:3719-J23113;3720:5567-no_hits,16,1848,5567
EF1,6216f318-8342-4ac2-b7f3-ca2aa124ff89,1:19-no_hits;20:54-J23116;55:701-no_hits,19,647,701
EF1,63c75131-d4f6-4eae-8596-e1b284672a1f,1:106-pac;107:137-RBSc36;141:175-J23116;176:1366-no_hits,0,1191,1366
EF1,d19726fb-c766-4b06-8ec3-fb1e684caf87,1:953-no_hits;954:988-J23116;989:1293-no_hits,953,305,1293
EF1,622a6478-ab28-467a-bcca-bb09946d5368,1:1-no_hits;2:32-RBSc36;36:70-J23116;71:164-no_hits,1,94,164
EF1,43a2d28f-7020-4efb-ba0d-be84b5d85e9f,1:2388-no_hits;2389:2445-T1_L3S2P55;2525:2863-symE;2867:2926-T2_L3S2P21;5371:5405-J23107;5409:5439-RBSc36;5440:5578-pac;5579:5578-no_hits,2388,0,5578
EF1,f9ced857-ed23-460a-a864-972fb328e5e0,1:448-pac;452:508-T1_L3S2P55;519:553-J23113;557:587-RBSc36;588:641-symE;642:641-no_hits,0,0,641
EF1,4685cf75-cb8c-419e-a472-4eec6ad948f8,1:311-pac;315:370-T1_L3S2P55;419:449-RBSc42;450:787-symE;791:850-T2_L3S2P21;3299:3333-J23102;3337:3367-RBSc36;3368:5583-no_hits,0,2216,5583
EF1,42c0626e-f1d4-4abe-9e4e-206d29c7aa16,1:407-pac;411:467-T1_L3S2P55;478:512-J23113;544:882-symE;886:946-T2_L3S2P21;947:2062-no_hits,0,1116,2062
EF1,6ae574e7-7175-46b3-b368-76d1a3309850,1:906-no_hits;907:941-J23113;942:2243-no_hits,906,1302,2243
EF1,0be229a2-133b-42ff-a2fb-42b3905189b1,1:1173-pac;1174:1204-RBSc36;1208:1242-J23118;1243:1552-no_hits,0,310,1552
EF1,8e0dc7d8-59cf-48b2-951b-f01f5798f9f0,1:1166-pac;1167:1197-RBSc36;1201:1235-J23118;3679:3738-T2_L3S2P21;3742:4080-symE;4081:4111-no_hits,0,31,4111
EF1,9175fd9b-7c64-40b2-98e8-ce2f9f38d896,1:112-pac;148:182-J23116;183:566-no_hits,0,384,566
EF1,fa2a6378-5d29-4d43-95d0-235644ed33c7,1:527-pac;528:558-RBSc36;562:596-J23107;597:809-no_hits,0,213,809
EF1,ec4a5496-556d-4244-91fc-75d842bb5bbe,1:48-no_hits;49:83-J23116;84:535-no_hits,48,452,535
EF1,8237ed54-333f-4a51-9158-7e32619fa7df,1:915-no_hits;916:950-J23107;954:984-RBSc36;985:2367-pac;2368:2368-no_hits,915,1,2368
EF1,c2e3743b-baa1-437d-9b7d-baffe234d14c,1:139-no_hits;140:174-J23116;175:370-no_hits,139,196,370
EF1,6da4cc63-f3a1-44be-b570-f161747aab2b,1:1923-no_hits;1924:1985-T2_L3S2P21;1989:2326-symE;2534:2568-J23102;2569:3051-no_hits,1923,483,3051
EF1,5fed6586-3d40-44d9-a2d9-1c0ff5352258,1:1053-no_hits;1054:1088-J23116;1089:2235-no_hits,1053,1147,2235
EF1,bd51b9dc-1249-4c06-876d-72fe66aa8e3b,1:1338-no_hits;1339:1373-J23116;1374:2237-no_hits,1338,864,2237
EF1,2be0b7d4-4325-4356-b954-3e52c08dea08,1:20-no_hits;21:55-J23107;56:2225-no_hits,20,2170,2225
EF1,2de708e3-853e-4dc3-ad4d-fcc58eee8c1b,1:1740-no_hits;1741:1781-T1_L3S2P55;1803:1837-J23107;1841:1871-RBSc58;1872:2207-symE;4708:4739-J23116;4748:4776-RBSc36;4777:5395-pac;5396:5478-no_hits,1740,83,5478
EF1,cb35f88a-9b0e-4678-bd54-ea406288496f,1:2170-no_hits;2171:2201-RBSc36;2205:2239-J23116;4678:4738-T2_L3S2P21;4744:5080-symE;5115:5149-J23107;5160:5211-T1_L3S2P55;5360:5415-pac;5416:5415-no_hits,2170,0,5415
EF1,797cc66a-febb-4361-b430-f50f41db41e0,1:778-no_hits;779:813-J23102;817:847-RBSc36;848:3384-pac;3388:3444-T1_L3S2P55;3454:3789-symE;3793:3853-T2_L3S2P21;3854:5564-no_hits,778,1711,5564
EF1,e34a714c-3a0a-44a2-9206-46edbda35b6c,1:857-no_hits;858:892-J23107;893:2230-no_hits,857,1338,2230
EF1,4784361f-ec0f-49bc-9275-31c3d7a2bfc3,1:1257-no_hits;1258:1292-J23116;1293:2233-no_hits,1257,941,2233
EF1,08833faa-7d56-400d-98f6-a9fbfa9c0286,1:298-no_hits;299:333-J23116;334:2223-no_hits,298,1890,2223
EF1,4be9ba8c-6f30-437a-9e85-331efb76f3dd,1:128-no_hits;129:189-T2_L3S2P21;193:532-symE;533:563-RBSc42;567:599-J23113;600:3158-no_hits,128,2559,3158
EF1,f1a6ebd8-6ecb-4e74-87c1-d8cfb71f06c2,1:1250-no_hits;1251:1285-J23116;1286:2226-no_hits,1250,941,2226
EF1,fbf1b5bd-34fa-4979-bb4e-04d7c4c9673d,1:47-symE;83:117-J23118;128:184-T1_L3S2P55;188:1145-pac;1146:1145-no_hits,0,0,1145
EF1,3faafaa3-94e4-40a1-aa45-f8f23e7943f5,1:1575-no_hits;1576:4099-pac;4103:4159-T1_L3S2P55;4170:4204-J23113;4208:4238-RBSc36;4239:4577-symE;4581:4641-T2_L3S2P21;4642:5566-no_hits,1575,925,5566
EF1,60afa597-acd1-4300-bd0c-1ef432361303,1:10-no_hits;11:420-pac;424:480-T1_L3S2P55;491:525-J23118;560:894-symE;898:939-T2_L3S2P21;940:947-no_hits,10,8,947
EF1,7d9a8e6f-21fe-46c9-a975-ff0cecfefaf2,1:194-no_hits;195:229-J23116;230:1571-no_hits,194,1342,1571
EF1,3292e7c6-77e9-430c-b098-af4bd9e9767c,1:1177-no_hits;1178:1212-J23107;1213:2238-no_hits,1177,1026,2238
EF1,abc6a0c6-db1d-4147-a872-44ead56604cf,1:1403-no_hits;1404:1438-J23107;1442:1472-RBSc36;1473:2675-pac;2676:2675-no_hits,1403,0,2675
EF1,60ed0dcf-0198-4168-9163-e79bcfffc1f4,1:170-pac;171:201-RBSc36;205:239-J23116;240:899-no_hits,0,660,899
EF1,ae0a0302-62da-4637-b20e-c5c715ec7c2e,1:85-no_hits;86:120-J23118;124:154-RBSc36;155:319-pac;320:319-no_hits,85,0,319
EF1,7ed6ff0e-a093-4da1-9fd2-e1418e1e3b16,1:2182-no_hits;2183:2217-J23107;2218:2227-no_hits,2182,10,2227
EF1,65dcd5ce-766c-4651-8a68-919545f7ccae,1:20-no_hits;21:1309-pac;1313:1369-T1_L3S2P55;1380:1414-J23118;1418:1448-RBSc42;1449:1786-symE;1790:1845-T2_L3S2P21;1846:2198-no_hits,20,353,2198
EF1,156c3df8-89ab-4428-bcdd-fd973be8114b,1:1971-no_hits;1972:2006-J23116;2007:2231-no_hits,1971,225,2231
EF1,84c59ff6-8ab9-4fb4-9f76-d801f1730d85,1:1374-no_hits;1375:1434-T2_L3S2P21;1438:1779-symE;1780:1810-RBSc13;1814:1848-J23113;1859:1905-T1_L3S2P55;1916:2364-pac;2365:2364-no_hits,1374,0,2364
EF1,bd30e2ea-e9df-4a07-9acd-260843dd84d9,1:819-pac;830:864-J23118;868:898-RBSc36;899:977-symE;978:977-no_hits,0,0,977
EF1,79c63994-4caa-4f46-b4e1-4dae65c744bc,1:1217-no_hits;1218:1278-T2_L3S2P21;1282:1620-symE;1654:1688-J23107;1699:1753-T1_L3S2P55;1759:4294-pac;4295:4325-RBSc36;4329:4363-J23113;4364:5580-no_hits,1217,1217,5580
EF1,352781b5-ad33-4a7c-b7bc-c28073575b20,1:409-no_hits;410:444-J23116;445:2221-no_hits,409,1777,2221
EF1,cc6aa75c-5672-4271-85c9-d51dc3ecfca9,1:1394-pac;1398:1438-T1_L3S2P55;1461:1495-J23116;1499:1529-RBSc36;1530:1700-symE;1701:1700-no_hits,0,0,1700
EF1,615235c8-2c45-4acc-baf4-dd3be477f61d,1:2045-no_hits;2046:2080-J23116;2081:2226-no_hits,2045,146,2226
EF1,08abec41-7680-4e9a-aae5-a4100a415249,1:714-pac;718:774-T1_L3S2P55;785:819-J23113;823:853-RBSc36;854:1192-symE;1196:1256-T2_L3S2P21;1257:3141-no_hits,0,1885,3141
EF1,ec33f580-7bc9-4f48-9016-babd97b5a808,1:434-no_hits;435:469-J23116;506:797-pac;798:797-no_hits,434,0,797
EF1,93f95239-50b1-48ca-8128-7f724172e501,1:945-no_hits;946:980-J23107;981:2232-no_hits,945,1252,2232
EF1,1034973c-f883-4b59-8161-0494c7a67a27,1:320-no_hits;321:355-J23116;356:2221-no_hits,320,1866,2221
EF1,ce563dd5-a1ea-48d2-b7d2-a42dee3c28c6,1:4-no_hits;5:65-T2_L3S2P21;69:407-symE;408:438-RBSc42;442:476-J23118;487:542-T1_L3S2P55;546:2899-pac;2900:2899-no_hits,4,0,2899
EF1,2591f05f-8405-44ed-874b-0e2597a7fd97,1:705-no_hits;706:740-J23116;741:2234-no_hits,705,1494,2234
EF1,f74d7f9d-c357-4518-8a08-8223f588ce94,1:46-no_hits;47:81-J23116;116:2655-pac;2659:2715-T1_L3S2P55;2763:2793-RBSc36;2794:3132-symE;3136:3182-T2_L3S2P21;3183:7212-no_hits,46,4030,7212
EF1,37e06472-117d-4786-b8f8-4f777f9c3329,1:272-no_hits;273:303-RBSc13;307:341-J23113;352:408-T1_L3S2P55;412:2946-pac;2947:2977-RBSc36;2978:3949-no_hits,272,972,3949
EF1,897d8425-0d88-48e0-b74f-d345e8cb17ce,1:687-no_hits;688:722-J23116;723:2236-no_hits,687,1514,2236
EF1,4440c1e2-b47e-4d4f-8324-67843888ee46,1:65-no_hits;66:100-J23118;136:2655-pac;2726:2760-J23107;2764:2794-RBSc42;2795:3134-symE;3138:3198-T2_L3S2P21;3199:3208-no_hits,65,10,3208
EF1,cc77371e-e394-4208-8920-fb19165b1b6e,1:925-no_hits;926:960-J23116;961:2233-no_hits,925,1273,2233
EF1,62c01019-9dfd-427f-89c8-c330eea50bcc,1:1670-no_hits;1671:1705-J23116;1706:2200-no_hits,1670,495,2200
EF1,3f059ef6-e27f-4c5b-b5b4-1582e1c86b2d,1:1941-pac;1945:2001-T1_L3S2P55;2012:2046-J23116;2050:2079-RBSc44;2080:2418-symE;2419:3708-no_hits,0,1290,3708
EF1,1fd2e24b-e397-4abc-b7c2-87891d25880f,1:1993-no_hits;1994:2050-T1_L3S2P55;2061:2095-J23116;2099:2129-RBSc36;2130:2431-symE;2467:2522-T2_L3S2P21;4959:4993-J23107;5029:5564-pac;5565:5564-no_hits,1993,0,5564
EF1,ee06381a-3860-4c36-bac0-4336fd48feb3,1:1523-no_hits;1524:1580-T1_L3S2P55;1592:1626-J23107;1661:1989-symE;1999:2054-T2_L3S2P21;4494:4528-J23116;4532:4562-RBSc36;4563:5547-pac;5548:5547-no_hits,1523,0,5547
EF1,9853d134-b39d-4ebd-9e7f-694783599951,1:877-no_hits;878:912-J23107;913:1592-no_hits,877,680,1592
EF1,d3537284-0909-4dc3-b591-e533524876ad,1:306-no_hits;307:341-J23107;342:816-no_hits,306,475,816
EF1,a4059667-6a8e-475a-ba35-8c694a6cf621,1:1195-no_hits;1196:1230-J23118;1266:1420-pac;1421:1421-no_hits,1195,1,1421
EF1,0c8623e1-62ca-43a3-bf7f-6ba7e3e60005,1:227-no_hits;228:262-J23116;263:1187-no_hits,227,925,1187
EF1,e013f039-24b6-44d9-a887-320922e0a14b,1:935-pac;936:966-RBSc36;970:1004-J23107;1005:1760-no_hits,0,756,1760
EF1,0a3254bf-e4db-4467-97b9-5d3d1790b422,1:190-no_hits;191:225-J23107;229:259-RBSc36;260:2788-pac;2792:2835-T1_L3S2P55;2856:2890-J23113;2894:2924-RBSc42;2925:3262-symE;3266:3326-T2_L3S2P21;3327:5562-no_hits,190,2236,5562
EF1,6ee3c8d5-82d6-4c69-9da0-e6a26c853bf1,1:777-no_hits;778:812-J23116;813:2223-no_hits,777,1411,2223
EF1,d1e5f8dd-5c77-4453-8ce6-65c51f8b8406,1:203-no_hits;204:238-J23116;242:272-RBSc36;273:351-pac;352:354-no_hits,203,3,354
EF1,dd184870-6b4b-4299-954d-8b89f40ae724,1:1509-no_hits;1510:1565-T1_L3S2P55;1576:1610-J23107;1646:1984-symE;1988:2048-T2_L3S2P21;4500:4534-J23113;4538:4568-RBSc36;4569:5599-pac;5600:5599-no_hits,1509,0,5599
EF1,7d96ce82-c176-42d0-b3f8-2fe28fbf2ce2,1:835-no_hits;836:896-T2_L3S2P21;900:1238-symE;1271:1305-J23118;1316:1371-T1_L3S2P55;1375:1487-pac;1488:1487-no_hits,835,0,1487
EF1,45acbfd6-bad8-47ec-936a-cd639b2e71c1,1:27-no_hits;28:86-T2_L3S2P21;89:426-symE;459:493-J23113;704:738-J23102;739:1930-no_hits,27,1192,1930
EF1,9b60aa66-7b37-4e27-9215-43e76f7752f1,1:1640-no_hits;1641:1696-T1_L3S2P55;1707:1741-J23116;1776:2109-symE;2118:2176-T2_L3S2P21;4675:4705-RBSc36;4706:5177-pac;5178:5177-no_hits,1640,0,5177
EF1,80990228-de45-42b1-8613-91d5495e1c3f,1:1970-no_hits;1971:2027-T1_L3S2P55;2076:2106-RBSc13;2107:2445-symE;2449:2504-T2_L3S2P21;4957:4991-J23113;4995:5025-RBSc36;5026:5404-pac;5405:5404-no_hits,1970,0,5404
EF1,37cc82d2-e67e-4334-bb1a-f30eb9fa2424,1:791-no_hits;792:825-J23107;826:826-no_hits,791,1,826
EF1,33ce862d-ae3e-4d7d-b9c6-e23d54f5f508,1:1303-no_hits;1304:1338-J23116;1339:2218-no_hits,1303,880,2218
EF1,0f26637b-ea03-46a0-9e84-e6fb761a9200,1:331-symE;332:362-RBSc58;366:400-J23107;470:1065-pac;1066:1065-no_hits,0,0,1065
EF1,28e919f3-8d43-49b2-aefb-5d51b16b56ce,1:587-pac;621:655-J23116;656:2662-no_hits,0,2007,2662
EF1,c052e903-caaa-4b64-bd5e-a8ac8c041572,1:63-symE;64:93-RBSc44;97:128-J23116;193:957-pac;958:957-no_hits,0,0,957
EF1,5c14e597-165a-4c66-ae54-d89a23668f4b,1:1281-no_hits;1282:1316-J23116;1351:3891-pac;3895:3951-T1_L3S2P55;3962:3996-J23118;4000:4030-RBSc36;4031:4369-symE;4373:4434-T2_L3S2P21;4435:5043-no_hits,1281,609,5043
EF1,73475b96-8d4a-41e2-b44c-e59bcfd0efb6,1:1011-no_hits;1012:1046-J23107;1047:1200-no_hits,1011,154,1200
EF1,15f12dbd-c66b-402c-ae79-ff614b35a2dc,1:1553-no_hits;1554:1584-RBSc36;1588:1622-J23113;4057:4097-T2_L3S2P21;4114:4446-symE;4481:4515-J23118;4536:4574-T1_L3S2P55;4588:5554-pac;5555:5554-no_hits,1553,0,5554
EF1,ee5476c3-3cfb-40b0-812e-993c62e2036b,1:5-no_hits;6:175-pac;179:235-T1_L3S2P55;246:280-J23113;316:647-symE;651:711-T2_L3S2P21;712:2180-no_hits,5,1469,2180
EF1,abe46856-85bd-4d47-a236-b92dd058dcd7,1:891-no_hits;892:926-J23116;927:1101-no_hits,891,175,1101
EF1,ff255ed7-5394-4a00-8bbb-a135bd76b62f,1:304-no_hits;305:365-T2_L3S2P21;369:707-symE;742:776-J23107;777:3153-no_hits,304,2377,3153
EF1,064c7ea0-5bbd-4b8d-bb25-d3ff4e86646e,1:387-no_hits;388:726-symE;727:757-RBSc33;761:795-J23116;806:857-T1_L3S2P55;866:3403-pac;3404:3434-RBSc36;3435:5512-no_hits,387,2078,5512
EF1,fa80a48c-da6e-47f5-8f79-564dc6641b61,1:341-no_hits;342:376-J23107;380:410-RBSc36;411:2950-pac;2954:3005-T1_L3S2P55;3006:5635-no_hits,341,2630,5635
EF1,85784606-8807-4c7c-93c6-a60038569f86,1:16-no_hits;17:689-pac;690:720-RBSc36;724:758-J23116;759:892-no_hits,16,134,892
EF1,9ee82c3c-8e05-4fa9-8d48-666ae4d11ee5,1:1316-no_hits;1317:1351-J23116;1352:2227-no_hits,1316,876,2227
EF1,c4555eca-8421-4919-abd6-10309c072a50,1:75-symE;76:106-RBSc58;110:144-J23107;155:211-T1_L3S2P55;215:624-pac;625:624-no_hits,0,0,624
EF1,e9427c93-fb2e-438d-b1f4-4c16d65799ee,1:1271-no_hits;1272:1328-T1_L3S2P55;1339:1373-J23116;1408:1747-symE;1751:1811-T2_L3S2P21;4240:4274-J23118;4278:4308-RBSc36;4309:5565-pac;5566:5565-no_hits,1271,0,5565
EF1,3232bbee-6c8b-4006-9a78-bad28a14769f,1:9-no_hits;10:82-symE;117:151-J23113;162:218-T1_L3S2P55;222:456-pac;457:457-no_hits,9,1,457
EF1,41d1cc9e-1949-4b55-8872-40af0fd79a7a,1:324-symE;325:355-RBSc42;359:393-J23113;404:460-T1_L3S2P55;461:473-no_hits,0,13,473
EF1,2e570e67-cff5-44bf-88e1-1b7c8c2e50f9,1:2355-no_hits;2356:2390-J23118;2398:2428-RBSc36;2429:4934-pac;4935:4934-no_hits,2355,0,4934
EF1,e47f2a96-543a-41e8-8c7b-b57a7ee41b5e,1:691-pac;692:722-RBSc36;726:760-J23116;3201:3261-T2_L3S2P21;3265:3603-symE;3637:3671-J23118;3682:3737-T1_L3S2P55;3738:5577-no_hits,0,1840,5577
EF1,2039df5f-f735-41f1-b1c2-0ba60211074c,1:1954-no_hits;1955:1989-J23116;1993:2023-RBSc36;2024:2933-pac;2934:2933-no_hits,1954,0,2933
EF1,c0537cf6-5ee1-4968-9736-aa63b8b38312,1:2-no_hits;3:596-pac;600:656-T1_L3S2P55;3639:3673-J23107;3677:3707-RBSc36;3708:5631-no_hits,2,1924,5631
EF1,80e7562e-1ff4-4a93-8d56-d4a62bbaf375,1:110-pac;121:155-J23116;194:532-symE;536:596-T2_L3S2P21;597:1613-no_hits,0,1017,1613
EF1,3240c759-edd3-4306-adbb-ea6bce2e06a7,1:295-no_hits;296:356-T2_L3S2P21;2803:2837-J23102;3049:3083-J23116;3120:3153-symE;3154:3153-no_hits,295,0,3153
EF1,beb74774-1d6a-46cb-864d-d5aa9bf61786,1:9-no_hits;10:726-pac;730:781-T1_L3S2P55;803:836-J23116;840:870-RBSc58;871:1209-symE;1213:1273-T2_L3S2P21;3722:3756-J23102;3760:3790-RBSc36;3791:5502-no_hits,9,1712,5502
EF1,4c71381e-8de0-460e-a528-7f9386607ef3,1:1556-pac;1591:1625-J23107;1626:1806-no_hits,0,181,1806
EF1,056c58ec-289a-44df-9dd2-19891ffbeffb,1:295-no_hits;296:330-J23116;331:361-no_hits,295,31,361
EF1,b54df30a-1803-463d-ade4-9c1c33c53b38,1:195-no_hits;196:226-RBSc42;230:264-J23118;476:510-J23102;2954:3014-T2_L3S2P21;3018:3145-symE;3146:3145-no_hits,195,0,3145
EF1,30c19bd1-a749-42f7-a7df-4a325c68f376,1:800-no_hits;801:835-J23102;1047:1081-J23113;1085:1115-RBSc36;1116:1453-symE;1457:1518-T2_L3S2P21;1519:3143-no_hits,800,1625,3143
EF1,fc1f19d5-e018-4e44-887d-99912dd70c26,1:2107-no_hits;2108:2169-T2_L3S2P21;2173:2512-symE;2546:2580-J23113;2590:2646-T1_L3S2P55;2650:5187-pac;5188:5218-RBSc36;5222:5256-J23102;5257:5574-no_hits,2107,318,5574
EF1,610f60ce-9a1b-4862-a47a-8650b3a995fe,1:338-no_hits;339:373-J23102;377:407-RBSc36;408:2938-pac;2942:2998-T1_L3S2P55;3009:3043-J23113;3047:3077-RBSc13;3078:3416-symE;3420:3477-T2_L3S2P21;3478:5553-no_hits,338,2076,5553
EF1,d98eca07-73fc-454b-96d5-08393175c042,1:41-pac;77:111-J23102;112:522-no_hits,0,411,522
EF1,44ac6bf5-c84a-488a-8d1c-68425e3702f5,1:426-no_hits;427:461-J23102;465:492-RBSc36;493:522-no_hits,426,30,522
